SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/19/2016 09:55:12,N,AIR_LIQC_L_A,       14.61
01/19/2016 09:55:12,N,AI_138A,       16.30
01/19/2016 09:55:12,N,AI_138B,       16.30
01/19/2016 09:55:12,N,AI_TR1,       16.30
01/19/2016 09:55:12,N,AI_TR2,       16.30
01/19/2016 09:55:12,N,AJO_345_1,       13.21
01/19/2016 09:55:12,N,AJO_345_2,       13.21
01/19/2016 09:55:12,N,AK_138A,       16.30
01/19/2016 09:55:12,N,AK_138B,       16.30
01/19/2016 09:55:12,N,AK_GT1__8040,       16.30
01/19/2016 09:55:12,N,AK_K,       16.30
01/19/2016 09:55:12,N,AK_KA,       16.30
01/19/2016 09:55:12,N,AK_KH,       16.30
01/19/2016 09:55:12,N,AK_KX,       16.30
01/19/2016 09:55:12,N,ALAMO_CM_A,       16.63
01/19/2016 09:55:12,N,ALAMO_CM_C,       16.63
01/19/2016 09:55:12,N,ALAZAN_L_A,       14.23
01/19/2016 09:55:12,N,ALBANY_L_A,       16.52
01/19/2016 09:55:12,N,ALBANY_V_A,       16.52
01/19/2016 09:55:12,N,ALBNY_FD_L_A,       16.52
01/19/2016 09:55:12,N,ALCOA_L_A,       15.96
01/19/2016 09:55:12,N,ALCOA_L_B,       15.96
01/19/2016 09:55:12,N,ALCORN,       16.48
01/19/2016 09:55:12,N,ALEDO,       16.48
01/19/2016 09:55:12,N,ALEDOTAP,       16.48
01/19/2016 09:55:12,N,ALHUB_RC_L_A,       16.48
01/19/2016 09:55:12,N,ALHUB_RC_L_B,       16.48
01/19/2016 09:55:12,N,ALIBATES_39,       16.51
01/19/2016 09:55:12,N,ALIBATE_15,       16.51
01/19/2016 09:55:12,N,ALIBUS1N,       16.51
01/19/2016 09:55:12,N,ALIBUS2S,       16.51
01/19/2016 09:55:12,N,ALICE_L_A,       14.61
01/19/2016 09:55:12,N,ALICE_L_B,       14.61
01/19/2016 09:55:12,N,ALICE_V_A,       14.61
01/19/2016 09:55:12,N,ALIQUING_K,       14.72
01/19/2016 09:55:12,N,ALK_138A,       16.30
01/19/2016 09:55:12,N,ALK_138B,       16.30
01/19/2016 09:55:12,N,ALK_8005,       16.30
01/19/2016 09:55:12,N,ALK_8010,       16.30
01/19/2016 09:55:12,N,ALK_8035,       16.30
01/19/2016 09:55:12,N,ALK_TR1,       16.30
01/19/2016 09:55:12,N,ALK_TR2,       16.30
01/19/2016 09:55:12,N,ALLEN2_8P,       16.48
01/19/2016 09:55:12,N,ALLEN2_8Q,       16.48
01/19/2016 09:55:12,N,ALLEN2_8U,       16.48
01/19/2016 09:55:12,N,ALLENSW1_5,       16.47
01/19/2016 09:55:12,N,ALLENSW2_5,       16.48
01/19/2016 09:55:12,N,ALLENSW_E8,       16.48
01/19/2016 09:55:12,N,ALLENSW_E8D,       16.48
01/19/2016 09:55:12,N,ALLENSW_W8,       16.48
01/19/2016 09:55:12,N,ALLENSW_W8G,       16.48
01/19/2016 09:55:12,N,ALLEN_K,       16.48
01/19/2016 09:55:12,N,ALLEN_N2_8O,       16.48
01/19/2016 09:55:12,N,ALLEN_N2_8P,       16.48
01/19/2016 09:55:12,N,ALLEN_N2_8T,       16.48
01/19/2016 09:55:12,N,ALLIANCE1_5V,       16.48
01/19/2016 09:55:12,N,ALLIANCE1_5W,       16.48
01/19/2016 09:55:12,N,ALLISON_T9W,       16.48
01/19/2016 09:55:12,N,ALMC_1_BUS1,       16.59
01/19/2016 09:55:12,N,ALMC_V_A,       16.59
01/19/2016 09:55:12,N,ALMO_LN,       16.81
01/19/2016 09:55:12,N,ALMO_UN1,       16.81
01/19/2016 09:55:12,N,ALNTH_KJ,       16.48
01/19/2016 09:55:12,N,ALOESUB9V,       15.98
01/19/2016 09:55:12,N,ALOES_AG1,       15.98
01/19/2016 09:55:12,N,ALPHA2_8O,       16.47
01/19/2016 09:55:12,N,ALPHA2_8V,       16.47
01/19/2016 09:55:12,N,ALPHA2_8W,       16.47
01/19/2016 09:55:12,N,ALPHA2_8X,       16.47
01/19/2016 09:55:12,N,ALPHA_LD01,       14.70
01/19/2016 09:55:12,N,ALPHA_LD02,       14.70
01/19/2016 09:55:12,N,ALPI_L_A,       16.59
01/19/2016 09:55:12,N,ALPI_L_B,       16.59
01/19/2016 09:55:12,N,ALPI_V_A,       16.59
01/19/2016 09:55:12,N,ALPR_L_A,       16.59
01/19/2016 09:55:12,N,ALTON_MV_L_A,       11.48
01/19/2016 09:55:12,N,ALTON_MV_L_B,       11.48
01/19/2016 09:55:12,N,ALTUDA_L_A,       16.30
01/19/2016 09:55:12,N,ALVARADO1_8W,       16.47
01/19/2016 09:55:12,N,ALVARADO1_8Y,       16.47
01/19/2016 09:55:12,N,ALVDO_MT07,       16.47
01/19/2016 09:55:12,N,ALVORD1_8X,       16.49
01/19/2016 09:55:12,N,ALVORD1_8Y,       16.49
01/19/2016 09:55:12,N,AL_8005,       16.30
01/19/2016 09:55:12,N,AL_8010,       16.30
01/19/2016 09:55:12,N,AL_TR1,       16.30
01/19/2016 09:55:12,N,AL_TR2,       16.30
01/19/2016 09:55:12,N,AMBR_L_A,       16.58
01/19/2016 09:55:12,N,AMDX,       16.49
01/19/2016 09:55:12,N,AMDY,       16.49
01/19/2016 09:55:12,N,AMD_SA_B,       16.73
01/19/2016 09:55:12,N,AMELIA2_8W,       16.47
01/19/2016 09:55:12,N,AMELIA2_8X,       16.47
01/19/2016 09:55:12,N,AMERIGAS1Z,       16.44
01/19/2016 09:55:12,N,AMGLDSMI_8,       16.56
01/19/2016 09:55:12,N,AMGLDSMI_8Z,       16.56
01/19/2016 09:55:12,N,AMISTAD_1,       19.37
01/19/2016 09:55:12,N,AMISTAD_2,       19.37
01/19/2016 09:55:12,N,AMISTAD_AG1,       19.37
01/19/2016 09:55:12,N,AMISTAD_AG2,       19.37
01/19/2016 09:55:12,N,AMISTAD_E_1,       19.37
01/19/2016 09:55:12,N,AMISTAD_V_A,       19.37
01/19/2016 09:55:12,N,AMISTD_K,       19.37
01/19/2016 09:55:12,N,AMI_AMISTAG1,       19.37
01/19/2016 09:55:12,N,AMI_AMISTAG2,       19.37
